Date,Name,Year,Letterboxd URI,Rating
2016-12-03,Akeelah and the Bee,2006,https://boxd.it/1PuC,3
2016-12-06,Rear Window,1954,https://boxd.it/2a6Q,3.5
2016-12-07,Arrival,2016,https://boxd.it/aNGk,4
2016-12-10,Mamma Mia!,2008,https://boxd.it/1Tnq,3.5
2016-12-10,The Day After Tomorrow,2004,https://boxd.it/2aog,3
2016-12-10,Moulin Rouge!,2001,https://boxd.it/29wI,3
2016-12-10,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2016-12-11,No Country for Old Men,2007,https://boxd.it/21ew,3
2016-12-11,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2016-12-16,Trainspotting,1996,https://boxd.it/29XY,4.5
2016-12-16,Night Train to Lisbon,2013,https://boxd.it/50aY,4
2016-12-16,The Giver,2014,https://boxd.it/6HWo,3.5
2016-12-17,Captain Phillips,2013,https://boxd.it/3GPK,3.5
2016-12-18,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2016-12-23,Taxi Driver,1976,https://boxd.it/2b8y,2.5
2016-12-26,Escape From Alcatraz,1979,https://boxd.it/1Vwk,2.5
2016-12-27,The Reader,2008,https://boxd.it/20Dq,5
2016-12-27,Titanic,1997,https://boxd.it/2a2k,4
2016-12-28,Elite Squad,2007,https://boxd.it/20YI,3.5
2016-12-28,My Mom is a Character 2,2016,https://boxd.it/6J8U,3.5
2016-12-29,Revolutionary Road,2008,https://boxd.it/24Le,3.5
2016-12-30,Hot Pursuit,2015,https://boxd.it/83Vu,1.5
2017-01-14,Black Swan,2010,https://boxd.it/Sw0,4.5
2017-01-14,Particle Fever,2013,https://boxd.it/64y8,3
2017-01-17,La La Land,2016,https://boxd.it/a5fa,4.5
2017-01-20,Shall We Dance?,2004,https://boxd.it/24r4,3
2017-01-25,Primal Fear,1996,https://boxd.it/28ws,4
2017-01-28,Collateral Beauty,2016,https://boxd.it/bAIu,3.5
2017-02-05,There's No Business Like Show Business,1954,https://boxd.it/1BQE,3
2017-02-10,Little Miss Sunshine,2006,https://boxd.it/29EW,4
2017-02-10,Precious,2009,https://boxd.it/1v6K,3
2017-02-14,Room,2015,https://boxd.it/7T0y,4
2017-02-14,The Duchess,2008,https://boxd.it/1ReQ,3.5
2017-02-14,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,3.5
2017-02-16,The Help,2011,https://boxd.it/EDm,5
2017-02-18,A Cure for Wellness,2016,https://boxd.it/bkQW,1
2017-03-19,Kong: Skull Island,2017,https://boxd.it/9ewM,2
2017-03-19,Hercules,1997,https://boxd.it/1SDW,4.5
2017-04-05,Modern Times,1936,https://boxd.it/25MC,4.5
2017-04-08,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,4.5
2017-04-10,The Artist,2011,https://boxd.it/2AwK,5
2017-04-22,American Psycho,2000,https://boxd.it/28Vs,3
2017-04-30,Beauty and the Beast,2017,https://boxd.it/ar0c,3.5
2017-05-01,The Godfather,1972,https://boxd.it/2aNK,4
2017-05-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,2
2017-06-11,The Private Life of a Cat,1946,https://boxd.it/42AW,3
2017-06-14,Blue Jasmine,2013,https://boxd.it/50MI,4
2017-06-14,Her,2013,https://boxd.it/4O24,3
2017-07-11,Wild Tales,2014,https://boxd.it/7UmK,4
2017-07-11,Wonder Woman,2017,https://boxd.it/9roG,3.5
2017-07-16,Train to Busan,2016,https://boxd.it/dSQU,4
2017-07-26,Léon: The Professional,1994,https://boxd.it/2b8S,4
2017-07-29,Dunkirk,2017,https://boxd.it/d0Y6,4
2017-08-08,War for the Planet of the Apes,2017,https://boxd.it/8FE2,3
2017-08-14,Porta dos Fundos: Contrato Vitalício,2016,https://boxd.it/dNtG,0.5
2017-08-14,Naked,2017,https://boxd.it/fmDe,2.5
2017-08-14,The Incredibles,2004,https://boxd.it/1XLm,5
2017-08-14,Fort Bliss,2014,https://boxd.it/7R6E,2.5
2017-08-30,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,3
2017-09-08,Wall Street,1987,https://boxd.it/1VFG,3
2017-09-08,The Founder,2016,https://boxd.it/9XwM,3.5
2017-09-16,It,2017,https://boxd.it/bC8e,4.5
2017-09-16,The Skin I Live In,2011,https://boxd.it/99A,5
2017-09-16,Joy,2015,https://boxd.it/8kEU,3
2017-09-24,A Beautiful Mind,2001,https://boxd.it/2amk,3.5
2017-09-24,Gaga: Five Foot Two,2017,https://boxd.it/gWwK,3.5
2017-10-23,Bye Bye Germany,2017,https://boxd.it/fpbi,3.5
2017-10-23,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2017-10-25,Poor Cinderella,1934,https://boxd.it/4GDQ,3.5
2017-10-28,Ó Paí Ó: Look at This,2007,https://boxd.it/17ru,4
2017-11-10,The Secret in Their Eyes,2009,https://boxd.it/1vWw,4.5
2017-11-21,The Mask You Live In,2015,https://boxd.it/6ECA,4
2017-11-23,Justice League,2017,https://boxd.it/4w68,2.5
2017-12-11,Babel,2006,https://boxd.it/292o,4.5
2017-12-19,Murder on the Orient Express,2017,https://boxd.it/dHjA,2.5
2018-01-10,Loving Vincent,2017,https://boxd.it/biIQ,4
2018-01-22,The Tourist,2010,https://boxd.it/17Hs,3
2018-01-24,The Fault in Our Stars,2014,https://boxd.it/6BQa,3.5
2018-01-28,The Post,2017,https://boxd.it/fTeG,3.5
2018-02-03,The Shape of Water,2017,https://boxd.it/dZ5m,4.5
2018-02-05,Blended,2014,https://boxd.it/6QQY,3.5
2018-02-05,Whiplash,2014,https://boxd.it/7bQA,4
2018-02-20,The Three Musketeers,2011,https://boxd.it/yXg,2
2018-03-07,Florence Foster Jenkins,2016,https://boxd.it/abbS,3
2018-03-07,12 Years a Slave,2013,https://boxd.it/2D2e,3.5
2018-03-20,Sixteen Candles,1984,https://boxd.it/1MJk,3
2018-04-29,Walking on Sunshine,2014,https://boxd.it/80Vc,3
2018-05-06,Black Panther,2018,https://boxd.it/8MHs,4
2018-05-07,Iron Man,2008,https://boxd.it/28dA,4
2018-05-07,Iron Man 2,2010,https://boxd.it/1WZM,3.5
2018-05-28,Elysium,2013,https://boxd.it/2cBm,2.5
2018-05-28,Hitchcock,2012,https://boxd.it/3LDa,3
2018-06-16,Identity Thief,2013,https://boxd.it/3GOW,3
2018-06-24,La luna,2011,https://boxd.it/2WbO,4
2018-06-24,Johnny Express,2014,https://boxd.it/85Zo,5
2018-06-24,Geri's Game,1997,https://boxd.it/1P6U,5
2018-06-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2018-07-18,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2018-07-26,Incredibles 2,2018,https://boxd.it/7IPg,4.5
2018-07-26,Lady Bird,2017,https://boxd.it/dGNE,3
2018-07-31,Skyscraper,2018,https://boxd.it/fVqa,3.5
2018-07-31,Scent of a Woman,1992,https://boxd.it/1YAu,4
2018-07-31,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2018-08-19,Chinese Take-Away,2011,https://boxd.it/2eGy,4
2018-09-06,The Mountain Between Us,2017,https://boxd.it/95jO,3
2018-09-17,Freaky Friday,2003,https://boxd.it/1WwK,3.5
2018-09-17,Coraline,2009,https://boxd.it/1NhQ,4.5
2018-09-23,The Rescuers,1977,https://boxd.it/1U8Q,2.5
2018-10-05,Mean Girls,2004,https://boxd.it/1VNg,3.5
2018-12-03,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,2.5
2018-12-09,The Emperor's New Groove,2000,https://boxd.it/1Tey,4.5
2018-12-14,The Terminal,2004,https://boxd.it/2a2O,4.5
2018-12-14,Hush,2016,https://boxd.it/d5ys,3
2019-01-10,A Star Is Born,2018,https://boxd.it/aXgc,3.5
2019-01-10,Bird Box,2018,https://boxd.it/eh1i,3
2019-01-13,Momentum,2015,https://boxd.it/bCS2,2.5
2019-01-15,It's Complicated,2009,https://boxd.it/1zUY,3.5
2019-01-22,Catwalk: Tales from the Catshow Circuit,2018,https://boxd.it/iAGC,2.5
2019-01-26,The Favourite,2018,https://boxd.it/d2hI,4
2019-02-05,The Neon Demon,2016,https://boxd.it/9AnW,2
2019-02-06,Glass,2019,https://boxd.it/g3uO,3
2019-02-06,Call Me by Your Name,2017,https://boxd.it/dYmm,3.5
2019-02-06,Papillon,2017,https://boxd.it/fnvK,3
2019-02-11,Dumplin',2018,https://boxd.it/gXcc,3
2019-02-13,"I, Tonya",2017,https://boxd.it/dzR0,3.5
2019-02-13,Unbreakable,2000,https://boxd.it/1XV2,3.5
2019-02-14,Nocturnal Animals,2016,https://boxd.it/bkFu,4.5
2019-02-18,The Wife,2017,https://boxd.it/bkzG,4
2019-03-03,Fyre,2019,https://boxd.it/kP0g,3
2019-03-10,Green Book,2018,https://boxd.it/hErk,3.5
2019-03-12,BlacKkKlansman,2018,https://boxd.it/hxL8,5
2019-03-23,Wanted,2008,https://boxd.it/1ZBS,3.5
2019-04-09,Unicorn Store,2017,https://boxd.it/f05u,3.5
2019-04-16,The Green Mile,1999,https://boxd.it/2agG,4.5
2019-04-21,Replicas,2018,https://boxd.it/9yBi,1
2019-05-01,Captain Marvel,2019,https://boxd.it/9vSA,2.5
2019-05-01,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2019-05-06,Notting Hill,1999,https://boxd.it/2aeK,3.5
2019-05-06,High School Musical,2006,https://boxd.it/1V0y,2.5
2019-05-12,Pet Sematary,2019,https://boxd.it/4W0q,2
2019-05-14,The Lobster,2015,https://boxd.it/7tnw,4
2019-05-20,"Girl, Interrupted",1999,https://boxd.it/25ds,3.5
2019-05-20,Sex and the City,2008,https://boxd.it/246q,3
2019-06-03,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,2.5
2019-06-08,Allied,2016,https://boxd.it/cP42,3
2019-06-15,Gone Girl,2014,https://boxd.it/6hQu,3.5
2019-06-22,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2019-06-22,The Edge of Democracy,2019,https://boxd.it/kLiA,4
2019-07-01,Fallen,2016,https://boxd.it/8KPO,1
2019-07-08,Toy Story 4,2019,https://boxd.it/9ALu,3
2019-07-09,Rocketman,2019,https://boxd.it/iehK,3
2019-07-09,Grace of Monaco,2014,https://boxd.it/6pkw,3.5
2019-07-15,Suite Française,2014,https://boxd.it/8b8A,3
2019-07-18,Captain Fantastic,2016,https://boxd.it/b2K2,5
2019-07-19,Into the Wild,2007,https://boxd.it/22m2,4
2019-07-24,21 Jump Street,2012,https://boxd.it/J0,4
2019-07-29,Big Little Lies,2017,https://boxd.it/fYde,4.5
2019-08-04,Get Out,2017,https://boxd.it/eOCm,3
2019-08-08,Stepmom,1998,https://boxd.it/1YFO,3.5
2019-08-16,Suicide Squad,2016,https://boxd.it/9row,2.5
2019-08-16,The Hustle,2019,https://boxd.it/g1ju,3
2019-08-16,10 Things I Hate About You,1999,https://boxd.it/23AO,4.5
2019-08-25,Brainstorm,2000,https://boxd.it/vlo,4
2019-08-25,The Man Who Copied,2003,https://boxd.it/10Rg,3.5
2019-09-04,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,3.5
2019-09-04,Simonal,2019,https://boxd.it/isrk,3
2019-09-04,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3.5
2019-09-08,Two Weeks Notice,2002,https://boxd.it/26wK,2.5
2019-09-08,The Babadook,2014,https://boxd.it/77xu,3.5
2019-09-08,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3.5
2019-09-15,It Chapter Two,2019,https://boxd.it/h10u,3
2019-10-12,Joker,2019,https://boxd.it/h4cS,4
2019-10-12,28 Days,2000,https://boxd.it/1WbM,2.5
2019-11-11,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2.5
2019-11-11,The Laundromat,2019,https://boxd.it/iLUK,2.5
2019-11-17,Million Dollar Arm,2014,https://boxd.it/5Y34,3
2019-12-09,Parasite,2019,https://boxd.it/hTha,5
2019-12-09,Marriage Story,2019,https://boxd.it/hJAw,2
2019-12-10,Coming to America,1988,https://boxd.it/1Ygu,4
2019-12-10,Eat Pray Love,2010,https://boxd.it/16Cc,3
2019-12-11,How to Be Single,2016,https://boxd.it/7GJq,3.5
2019-12-11,Burlesque,2010,https://boxd.it/Xfo,3.5
2019-12-11,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,https://boxd.it/6uQM,3
2019-12-11,Invisible Life,2019,https://boxd.it/k1JU,4.5
2019-12-17,Hustlers,2019,https://boxd.it/jIBM,3.5
2019-12-26,Sweet Home Alabama,2002,https://boxd.it/1TDo,4
2019-12-29,Knives Out,2019,https://boxd.it/jWEA,4
2020-01-19,Gloria and Grace,2017,https://boxd.it/eR06,3.5
2020-01-23,Scarface,1983,https://boxd.it/2b7g,3.5
2020-01-29,The Blind Side,2009,https://boxd.it/1zWg,4
2020-01-31,The Lake House,2006,https://boxd.it/27yM,2.5
2020-01-31,The Book of Henry,2017,https://boxd.it/dka6,3
2020-02-16,Music and Lyrics,2007,https://boxd.it/1Usw,2.5
2020-02-29,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,3.5
2020-02-29,The Man from the Future,2011,https://boxd.it/2vkO,3.5
2020-03-01,All the Bright Places,2020,https://boxd.it/bpfQ,3
2020-03-02,Frances Ha,2012,https://boxd.it/41Xg,3
2020-03-04,Just Like Heaven,2005,https://boxd.it/1ZoO,3
