Date,Name,Year,Letterboxd URI
2021-06-27,Three Christs,2017,https://boxd.it/eMnk
2021-06-27,The Wizard of Oz,1939,https://boxd.it/29Xu
2021-06-27,The Young Girls of Rochefort,1967,https://boxd.it/26K8
2021-06-27,Maps to the Stars,2014,https://boxd.it/4WCu
2021-06-27,The Phantom of Liberty,1974,https://boxd.it/22VG
2021-06-27,Antes Que Eu Me Esqueça,2017,https://boxd.it/hhiY
2021-06-27,Tout Va Bien,1972,https://boxd.it/20AQ
2021-06-27,Philomena,2013,https://boxd.it/69OA
2021-06-27,O Juízo,2019,https://boxd.it/ithK
2021-06-27,Pina,2011,https://boxd.it/n5W
2021-06-27,Heroic Losers,2019,https://boxd.it/lXFS
2021-06-27,Spartacus,1960,https://boxd.it/29bq
2021-06-27,Three Colors: White,1994,https://boxd.it/2b7A
2021-06-27,Three Colors: Blue,1993,https://boxd.it/2b7K
2021-06-27,Les Misérables,2012,https://boxd.it/2TT4
2021-06-27,Wonder Wheel,2017,https://boxd.it/fcGC
2021-06-27,Samba,2014,https://boxd.it/84xI
2021-06-27,Booksmart,2019,https://boxd.it/igNS
2021-06-27,Beginners,2010,https://boxd.it/s2S
2021-06-27,Cold War,2018,https://boxd.it/fEoc
2021-06-27,Varda by Agnès,2019,https://boxd.it/kihS
2021-06-27,Raging Bull,1980,https://boxd.it/28yI
2021-06-27,Behind the Sun,2001,https://boxd.it/1blU
2021-06-27,The Pianist,2002,https://boxd.it/2aqc
2021-06-30,Blue Velvet,1986,https://boxd.it/29BI
2021-07-02,Schindler's List,1993,https://boxd.it/2aq2
2021-07-03,Doubt,2008,https://boxd.it/1OfQ
2021-07-15,The Dreamers,2003,https://boxd.it/28X4
2021-07-16,Leto,2018,https://boxd.it/i9Tu
2021-07-18,Moonstruck,1987,https://boxd.it/27zg
2021-07-19,Phantom Thread,2017,https://boxd.it/e4uc
2021-08-03,Love in the Afternoon,1957,https://boxd.it/1HcK
2021-08-23,At Midnight I'll Take Your Soul,1964,https://boxd.it/1kje
2021-08-24,Hedwig and the Angry Inch,2001,https://boxd.it/1Qfe
2021-08-25,Paterson,2016,https://boxd.it/cRk2
2021-08-25,Orlando,1992,https://boxd.it/1Z1K
2021-08-25,The Notebook,2004,https://boxd.it/1UNE
2021-08-26,The Lives of Others,2006,https://boxd.it/2a4A
2021-08-28,Four Days in September,1997,https://boxd.it/1Cd4
2021-08-28,Foreign Land,1995,https://boxd.it/lOg
2021-08-29,Air Conditioner,2020,https://boxd.it/oDrs
2021-09-01,"Life, and Nothing More...",1992,https://boxd.it/2WEc
2021-09-01,Where Is My Friend's House?,1987,https://boxd.it/ELg
2021-09-03,Death Proof,2007,https://boxd.it/27GG
2021-09-06,La Vie en Rose,2007,https://boxd.it/28OQ
2021-09-06,The Immigrant,2013,https://boxd.it/4O2e
2021-09-08,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2021-09-12,Atonement,2007,https://boxd.it/24ui
2021-09-15,M,1931,https://boxd.it/29vq
2021-10-01,Hot Fuzz,2007,https://boxd.it/2416
2021-10-03,The Others,2001,https://boxd.it/27Po
2021-10-03,To Die For,1995,https://boxd.it/2a5o
2021-10-04,Blue Collar,1978,https://boxd.it/1Nhm
2021-10-05,Fanny and Alexander,1982,https://boxd.it/22go
2021-10-05,The Young and the Damned,1950,https://boxd.it/29AA
2021-10-05,Ace in the Hole,1951,https://boxd.it/1vXk
2021-10-07,Dangerous Liaisons,1988,https://boxd.it/29r4
2021-10-09,FEUD,2017,https://boxd.it/qIsE
2021-10-09,Anywhere but Here,1999,https://boxd.it/1C3o
2021-10-12,Heat,1995,https://boxd.it/2bg8
2021-10-26,Titane,2021,https://boxd.it/nlQC
2021-10-27,Seven Psychopaths,2012,https://boxd.it/34PW
2021-10-29,Marina Abramović: The Artist Is Present,2012,https://boxd.it/2Y7k
2021-10-29,Megalopolis,,https://boxd.it/lPBS
2021-11-01,To Catch a Thief,1955,https://boxd.it/2avm
2021-11-01,Children of Men,2006,https://boxd.it/1Y2i
2021-11-01,F for Fake,1973,https://boxd.it/VxA
2021-11-01,Amadeus,1984,https://boxd.it/2aH8
2021-11-02,Contact,1997,https://boxd.it/29OM
2021-11-06,Muriel's Wedding,1994,https://boxd.it/2aO4
2021-11-11,In Silico,2020,https://boxd.it/sz30
2021-11-15,Primer,2004,https://boxd.it/6YA
2021-11-18,Marie Antoinette,2006,https://boxd.it/27Wa
2021-11-20,The Girl with the Dragon Tattoo,2009,https://boxd.it/1Mb8
2021-11-26,Zero Dark Thirty,2012,https://boxd.it/3n1w
2021-12-02,Solaris,1972,https://boxd.it/2a2Y
2021-12-02,Stalker,1979,https://boxd.it/28PO
2021-12-06,White Christmas,1954,https://boxd.it/1Qky
2021-12-08,Notes on a Scandal,2006,https://boxd.it/28Zu
2021-12-27,Babenco: Tell Me When I Die,2019,https://boxd.it/mRXy
2022-01-12,Superbad,2007,https://boxd.it/20hO
2022-01-14,The Red Balloon,1956,https://boxd.it/1Mxo
2022-01-14,The Lost City,2022,https://boxd.it/sg0Q
2022-01-14,Submarine,2010,https://boxd.it/H4a
2022-01-14,Shiva Baby,2020,https://boxd.it/oIv0
2022-01-14,Napoleon Dynamite,2004,https://boxd.it/20wu
2022-01-15,Rope,1948,https://boxd.it/28yo
2022-01-27,Touch of Evil,1958,https://boxd.it/28II
2022-02-01,The Piano,1993,https://boxd.it/29Kq
2022-02-06,Rushmore,1998,https://boxd.it/1TAO
2022-02-06,Bergman Island,2021,https://boxd.it/h86E
2022-03-02,Eastern Promises,2007,https://boxd.it/275q
2022-03-02,A Dangerous Method,2011,https://boxd.it/IYo
2022-03-03,Good Time,2017,https://boxd.it/fcFu
2022-03-13,Wings,1927,https://boxd.it/1osO
2022-04-03,Drive My Car,2021,https://boxd.it/sv94
2022-04-04,Amour,2012,https://boxd.it/34Q6
2022-04-09,Blue,1993,https://boxd.it/3iyA
2022-04-13,King of New York,1990,https://boxd.it/1Ynq
2022-05-11,The Player,1992,https://boxd.it/1WlM
2022-05-11,Children of a Lesser God,1986,https://boxd.it/27VG
2022-05-12,Z,1969,https://boxd.it/26pY
2022-05-23,Brother and Sister,2022,https://boxd.it/vx7K
2022-05-27,Total Recall,1990,https://boxd.it/29qK
2022-05-27,Moonage Daydream,2022,https://boxd.it/A8Co
