Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-10-03,Sicario,2015,https://boxd.it/2b4NBD,3.5,,"Cenas bonitas, mas a personagem de Emily Blunt não teve a chance de fazer nada, completamente amarrada e cerceada pelos personagens masculinos.",,2021-10-02
2021-10-16,To Rome with Love,2012,https://boxd.it/2d6aH5,3.5,,Piazza di Spagna 💛🌹,,2021-10-15
2021-10-31,National Treasure: Book of Secrets,2007,https://boxd.it/2fqdGR,3,Yes,Eu amo amo AMO. Não há o que discutir.,,2021-10-30
2021-10-31,Roald Dahl's The Witches,2020,https://boxd.it/2fqdSN,2.5,,"Filme que dá origem a Bernardo e Bianca e a convenção de ratos que salvam crianças, o grande pequeno ícone Stuart Little e Rattatouile nunca cajadada só.
Infelizmente achei Anne Hathaway exagerada e que o filme é mais de ratos do que de gente. No entanto, tem seu valor de entretenimento e a qualidade em 4K é incrível de se assistir na tv.
O cgi até no gato preto (gatinho Romanova) é sofrível para mim.",,2021-10-30
2021-10-31,Reminiscence,2021,https://boxd.it/2fqegb,3.5,,"Meio interessante, tive a impressão de ser mais a cara de um livro distópico do que um filme em si. Adorei o elenco e o filme, embora tenha sentido que ele foi perdendo um pouco da nossa atenção do meio pro fim.",,2021-10-30
2021-11-15,Tenet,2020,https://boxd.it/2hN7Ct,2.5,,"Uma tristeza, um filme bem feito, mas que ao mesmo tempo consegue explicar demais e ser confuso.",,2021-11-14
2021-11-20,The Nanny Diaries,2007,https://boxd.it/2iEHkL,4,,"Redondinho, amei.",,2021-11-20
2021-11-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2iXU0R,4,Yes,"No cinema em 3D ✨🧙‍♀️💜
Chorei",,2021-11-21
2021-11-30,The Social Network,2010,https://boxd.it/2kab7D,4.5,,"Andrew Garfield 💙
Rooney Mara ali passeando só pra chamar Mark de escr*to.",,2021-11-29
2021-11-30,Before Sunset,2004,https://boxd.it/2kaOG3,4.5,,"Que fofos, ele é tão romântico.
Incrível os takes super longos acompanhando o papo.
E Nina Simone no final foi para conquistar completamente ❤️",,2021-11-29
2021-12-01,Blade Runner,1982,https://boxd.it/2khD9B,4.5,,Que cenário f*dástico!,,2021-11-30
2021-12-02,Capybara Walking,1887,https://boxd.it/2kryHN,5,,"Pq ela não sai do lugar, coitada.
Grande descoberta do dia: capybara = capivara.",,2021-12-01
2021-12-02,Full Metal Jacket,1987,https://boxd.it/2ksInF,,,"c h a t o
A segunda metade bléh",,2021-11-30
2021-12-07,Drive,2011,https://boxd.it/2lceXF,3.5,,"Ryan calça apertada cara de pastel Gosling.
Baby driver é uma cópia mais divertida.",,2021-12-06
2021-12-08,Love & Other Drugs,2010,https://boxd.it/2lhEhl,4,,Por um momento me fez querer trabalhar na “Pifaizer”,,2021-12-07
2021-12-16,Mad Max: Fury Road,2015,https://boxd.it/2ms5eH,4,,"Já tinha assistido trechos e odiado, acho que tinha pego umas cenas fora de contexto (bizarras). Dessa vez me pegou passando na Globo e me segurou na frente da tv o filme todinho. Até que gostei. Vrum vrum vrum 💥💨🥛Charlize Theron batendo em homi (Tom Hardy 💛). *agora só falta assistir sem ser dublado para ouvir as vozes originais deles.",,2021-12-12
2021-12-16,The Fate of the Furious,2017,https://boxd.it/2ms5jd,2.5,,"Remix Vigadores + Corrida maluca
Nada a ver com nada, wtf 
Melhor cena foi a primeira: Havana uh nanana",,2021-12-13
2021-12-27,"tick, tick...BOOM!",2021,https://boxd.it/2oMoax,4,,"Andrew Garfield está maravilhoso, estou me apaixonando por ele",,2021-12-26
2021-12-27,Inside Man,2006,https://boxd.it/2oP2s1,4.5,,"Que elenco! 
Filme de roubo redondinho",,2021-12-26
2021-12-27,The Avengers,2012,https://boxd.it/2oRbqd,3.5,Yes,"Consegui terminar de assistir no 5º dia seguido de tentativa (sorry, Tantan, sua Disney deve pensar que você enlouqueceu). Percebi que estava com saudades desse universo Marvel, de como as coisas eram mais simples na época desse filme. 
É tranquilizante assistir e ver instituições como a NASA e a SHIELD (💙), Fury, Coulson, M. Hill... As coisas pareciam mais próximas de uma ordem e da realidade (mesmo com uma broca azul em pleno céu de Manhattan e os Chitauri invadindo NY). Fiquei impactada em quanto os atores mudaram de lá para cá, até porque, se duvidar, eu mudei mais ainda. Enfim, de qualquer forma, esse filme foi um marco na época para os filmes de herói e para a indústria cinematográfica, com plateia e cifras bilionárias. E não sei como, mas algumas da frases e falas do filme ainda estão salvas em alguma gaveta escondida na minha mente.",,2021-12-26
2021-12-28,Spider-Man: No Way Home,2021,https://boxd.it/2p89xF,4.5,,"Total fan service, mas adorei, me diverti muito!
Dentro do que é esperado, entrega muito.",,2021-12-27
2021-12-29,Iron Man 3,2013,https://boxd.it/2plYut,3,Yes,"Muito melhor do que eu lembrava, adoro",,2021-12-28
2021-12-29,Certified Copy,2010,https://boxd.it/2pnzQD,3.5,,Taste of cherry + Before sunset,,2021-12-28
2021-12-30,The Matrix Resurrections,2021,https://boxd.it/2pD9Qp,1,,One star for the cute black little cat,,2021-12-29
2021-12-30,The Lizzie McGuire Movie,2003,https://boxd.it/2pEEbz,3.5,Yes,Obra-prima 🍝,,2021-12-29
2022-01-02,The Unforgivable,2021,https://boxd.it/2qt2Yb,3,,"Adoro Sandrinha, o filme é ok, mas dá a impressão de que os atores foram subutilizados.
Na verdade, totalmente subutilizados, incluindo a principal, Sandra Bullock, e ainda mais absurdo quando se olha para Viola Davis. A cena do embate das duas estava com burburinho pela divulgação do trailer e, é claro, pela potência das duas atrizes, mas foi tão morna. Nem elas foram capazes de dar peso ao filme, que foi perdendo força com o tempo. Acredito que os dois atores que pegaram os papéis do irmãos foram muito fracos, zero empatia e boa vontade por eles. Pelo lado da família da irmã, nem tivemos chance de nos conectar com ela, apenas sabemos que é uma pianista, tem alguns lapsos e acabou. A irmã novinha deu alguma esperança de movimentar a trama, mas faltou um link, não teve uma conversa com a irmã adotiva.",,2022-01-01
